CoDrone Location vs Time,04082024_195018
Pairing,04/08/2024 19:50:19.929561,temp,32.98,battery,100,position,1.144371747970581,-0.04036715254187584,-0.13867224752902985,0.02828240394592285
Takeoff,04/08/2024 19:50:30.056876,11.262774229049683,-0.011462965980172157,-0.0376904271543026,0.9023610949516296
Takeoff,04/08/2024 19:50:30.079300,11.284440279006958,-0.011709894984960556,-0.03791518881917,0.9022091031074524
Takeoff,04/08/2024 19:50:30.101625,11.305875062942505,-0.012087242677807808,-0.03810959681868553,0.9019705653190613
Takeoff,04/08/2024 19:50:30.123790,11.328138828277588,-0.012717665173113346,-0.03828185424208641,0.9017155170440674
Takeoff,04/08/2024 19:50:30.145803,11.350369215011597,-0.01333263237029314,-0.03833770006895065,0.9020868539810181
Takeoff,04/08/2024 19:50:30.167803,11.371918678283691,-0.01390669122338295,-0.03831254690885544,0.9025899171829224
Takeoff,04/08/2024 19:50:30.189786,11.394465684890747,-0.014492814429104328,-0.03823283314704895,0.9031274318695068
Takeoff,04/08/2024 19:50:30.212419,11.417980670928955,-0.0151362968608737,-0.03811250999569893,0.9035282731056213
Takeoff,04/08/2024 19:50:30.234486,11.439997911453247,-0.01592548005282879,-0.037960220128297806,0.9040337204933167
Takeoff,04/08/2024 19:50:30.255932,11.46004867553711,-0.016573503613471985,-0.03784837946295738,0.904506266117096
Takeoff,04/08/2024 19:50:30.278728,11.46004867553711,-0.016573503613471985,-0.03784837946295738,0.904506266117096
Takeoff,04/08/2024 19:50:30.301182,11.505300760269165,-0.017756963148713112,-0.03766495734453201,0.9062637686729431
Takeoff,04/08/2024 19:50:30.323089,11.528352975845337,-0.01832365058362484,-0.03757492080330849,0.9068861603736877
Takeoff,04/08/2024 19:50:30.344903,11.549286603927612,-0.018918374553322792,-0.03743785619735718,0.9077271819114685
Takeoff,04/08/2024 19:50:30.367355,11.571476936340332,-0.019354501739144325,-0.03726143017411232,0.9088774919509888
Takeoff,04/08/2024 19:50:30.389361,11.593926906585693,-0.01960611529648304,-0.037016794085502625,0.9104343056678772
Takeoff,04/08/2024 19:50:30.411255,11.616486549377441,-0.019723961129784584,-0.03672352805733681,0.9124403595924377
Takeoff,04/08/2024 19:50:30.433802,11.63863205909729,-0.019807152450084686,-0.03638888895511627,0.9139176607131958
Takeoff,04/08/2024 19:50:30.455709,11.660932540893555,-0.019916171208024025,-0.0361032634973526,0.9149578213691711
Takeoff,04/08/2024 19:50:30.478110,11.683273315429688,-0.020062005147337914,-0.03582104668021202,0.9160061478614807
Takeoff,04/08/2024 19:50:30.500107,11.70567536354065,-0.020194949582219124,-0.03544133901596069,0.9172316193580627
Takeoff,04/08/2024 19:50:30.522102,11.727251052856445,-0.020269842818379402,-0.03489614278078079,0.9184185266494751
Takeoff,04/08/2024 19:50:30.544176,11.749669790267944,-0.02028035931289196,-0.034206099808216095,0.9199486374855042
Takeoff,04/08/2024 19:50:30.566245,11.770748615264893,-0.020175877958536148,-0.03338833153247833,0.9215517044067383
Takeoff,04/08/2024 19:50:30.588766,11.793344497680664,-0.01990184374153614,-0.0323646254837513,0.9236025810241699
Takeoff,04/08/2024 19:50:30.610672,11.815961837768555,-0.019628632813692093,-0.031240906566381454,0.9258654713630676
Takeoff,04/08/2024 19:50:30.632869,11.83793020248413,-0.019307976588606834,-0.030260583385825157,0.9277381896972656
Takeoff,04/08/2024 19:50:30.654940,11.860554218292236,-0.018952464684844017,-0.029289457947015762,0.9294834733009338
Takeoff,04/08/2024 19:50:30.676897,11.882119417190552,-0.018636206164956093,-0.02840142883360386,0.9313381910324097
Takeoff,04/08/2024 19:50:30.699600,11.904462575912476,-0.01836182363331318,-0.027569545432925224,0.9335204362869263
Takeoff,04/08/2024 19:50:30.721679,11.904462575912476,-0.01836182363331318,-0.027569545432925224,0.9335204362869263
Takeoff,04/08/2024 19:50:30.743726,11.904462575912476,-0.01836182363331318,-0.027569545432925224,0.9335204362869263
Takeoff,04/08/2024 19:50:30.766211,11.970360279083252,-0.01788862608373165,-0.0256717000156641,0.942516565322876
Takeoff,04/08/2024 19:50:30.788603,11.993776798248291,-0.017874157056212425,-0.024860335513949394,0.9457383751869202
Takeoff,04/08/2024 19:50:30.810615,12.015170097351074,-0.018022963777184486,-0.024148257449269295,0.9488476514816284
Takeoff,04/08/2024 19:50:30.832699,12.036730766296387,-0.01836630143225193,-0.023455336689949036,0.9525056481361389
Takeoff,04/08/2024 19:50:30.854805,12.059900999069214,-0.018792299553751945,-0.02276189997792244,0.955793023109436
Takeoff,04/08/2024 19:50:30.877094,12.082366943359375,-0.01927243545651436,-0.021977940574288368,0.9590990543365479
Takeoff,04/08/2024 19:50:30.899051,12.10376238822937,-0.01976543851196766,-0.021143164485692978,0.9630470871925354
Takeoff,04/08/2024 19:50:30.920740,12.125245571136475,-0.020182762295007706,-0.020315341651439667,0.9669339656829834
Takeoff,04/08/2024 19:50:30.942323,12.146544694900513,-0.020510707050561905,-0.019575076177716255,0.9706279039382935
Takeoff,04/08/2024 19:50:30.963344,12.16797947883606,-0.020970625802874565,-0.018658023327589035,0.9748712778091431
Takeoff,04/08/2024 19:50:30.984806,12.16797947883606,-0.020970625802874565,-0.018658023327589035,0.9748712778091431
Takeoff,04/08/2024 19:50:31.006542,12.210515975952148,-0.022068936377763748,-0.016860423609614372,0.9824084639549255
Takeoff,04/08/2024 19:50:31.028482,12.23237919807434,-0.022669384256005287,-0.01596919260919094,0.9857944846153259
Takeoff,04/08/2024 19:50:31.050136,12.254043102264404,-0.02325468882918358,-0.015014336444437504,0.9895480871200562
Takeoff,04/08/2024 19:50:31.072490,12.276802778244019,-0.023783328011631966,-0.014066577889025211,0.9927854537963867
Takeoff,04/08/2024 19:50:31.094783,12.276802778244019,-0.023783328011631966,-0.014066577889025211,0.9927854537963867
Takeoff,04/08/2024 19:50:31.116598,12.276802778244019,-0.023783328011631966,-0.014066577889025211,0.9927854537963867
Takeoff,04/08/2024 19:50:31.137900,12.342845439910889,-0.025327738374471664,-0.011370143853127956,1.004638671875
Takeoff,04/08/2024 19:50:31.159935,12.364829778671265,-0.025692151859402657,-0.01053138542920351,1.008551001548767
Takeoff,04/08/2024 19:50:31.181378,12.364829778671265,-0.025692151859402657,-0.01053138542920351,1.008551001548767
Takeoff,04/08/2024 19:50:31.203729,12.40853500366211,-0.02641148492693901,-0.008623399771749973,1.017457127571106
Takeoff,04/08/2024 19:50:31.226076,12.430699586868286,-0.026913758367300034,-0.00750160776078701,1.0216377973556519
Takeoff,04/08/2024 19:50:31.248182,12.452310800552368,-0.027347756549715996,-0.0064473822712898254,1.0256863832473755
Takeoff,04/08/2024 19:50:31.271356,12.474406719207764,-0.027674157172441483,-0.005371982231736183,1.029711365699768
Takeoff,04/08/2024 19:50:31.293981,12.474406719207764,-0.027674157172441483,-0.005371982231736183,1.029711365699768
Takeoff,04/08/2024 19:50:31.315410,12.519739627838135,-0.028235744684934616,-0.0030391535256057978,1.038602352142334
Takeoff,04/08/2024 19:50:31.337571,12.541291952133179,-0.028622781857848167,-0.0020381624344736338,1.043038249015808
Takeoff,04/08/2024 19:50:31.359440,12.563788414001465,-0.02899228222668171,-0.0011859729420393705,1.0474259853363037
Takeoff,04/08/2024 19:50:31.381484,12.58611512184143,-0.029367662966251373,-0.0002959257399197668,1.0518749952316284
Takeoff,04/08/2024 19:50:31.403726,12.607815265655518,-0.02974889986217022,0.0005294528673402965,1.0557811260223389
Takeoff,04/08/2024 19:50:31.425743,12.630236864089966,-0.030088083818554878,0.0012892290251329541,1.0593918561935425
Takeoff,04/08/2024 19:50:31.448256,12.6513090133667,-0.030419975519180298,0.0021163697820156813,1.0628622770309448
Takeoff,04/08/2024 19:50:36.460156,temp,32.7,battery,86,position,12.6513090133667,-0.030419975519180298,0.0021163697820156813,1.0628622770309448
Random_Limits,04/08/2024 19:50:39.515602,20.718448162078857,-0.05351923033595085,0.09044785797595978,1.2006850242614746,Notes,1,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.537963,20.74227023124695,-0.05357632040977478,0.08998718857765198,1.2007598876953125,Notes,2,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.560220,20.765272855758667,-0.053651634603738785,0.08937590569257736,1.2009656429290771,Notes,3,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.583147,20.787200689315796,-0.05384873226284981,0.08856724202632904,1.2019391059875488,Notes,4,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.606114,20.81081485748291,-0.05391111224889755,0.08793690800666809,1.2017756700515747,Notes,5,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.628869,20.832401275634766,-0.053830232471227646,0.08768851310014725,1.2017359733581543,Notes,6,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.651580,20.856343269348145,-0.05366051569581032,0.0877404734492302,1.202484130859375,Notes,7,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.674208,20.878336668014526,-0.05346987023949623,0.08805587887763977,1.2036370038986206,Notes,8,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.696517,20.901341199874878,-0.05321915075182915,0.08832847326993942,1.20431387424469,Notes,9,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.719062,20.923665285110474,-0.052898239344358444,0.08864998072385788,1.20429265499115,Notes,10,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.742008,20.946177005767822,-0.05248275026679039,0.08850735425949097,1.202986717224121,Notes,11,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.764510,20.968669414520264,-0.052121005952358246,0.08827380836009979,1.2021578550338745,Notes,12,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.786506,20.992072582244873,-0.05177631601691246,0.08808301389217377,1.201520562171936,Notes,13,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.808782,20.992072582244873,-0.05177631601691246,0.08808301389217377,1.201520562171936,Notes,14,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.832419,21.036076545715332,-0.05110049620270729,0.08775071054697037,1.2007420063018799,Notes,15,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.855336,21.05948519706726,-0.05076327174901962,0.08733249455690384,1.2005316019058228,Notes,16,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.877760,21.081907272338867,-0.05045439675450325,0.08686535805463791,1.200452446937561,Notes,17,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.900293,21.10533356666565,-0.05018983036279678,0.08660461753606796,1.200662612915039,Notes,18,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.923564,21.127583503723145,-0.04993169382214546,0.08683256804943085,1.2008136510849,Notes,19,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.946065,21.151232957839966,-0.04974377155303955,0.08711421489715576,1.2016596794128418,Notes,20,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.968445,21.17273187637329,-0.049672894179821014,0.08761878311634064,1.203734040260315,Notes,21,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:39.990512,21.19573974609375,-0.049752987921237946,0.08822467178106308,1.2052897214889526,Notes,22,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.012949,21.217180252075195,-0.04992278292775154,0.08921641856431961,1.205191969871521,Notes,23,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.034620,21.23960852622986,-0.05003329738974571,0.0906243845820427,1.2051289081573486,Notes,24,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.057273,21.261951684951782,-0.05005156621336937,0.09201625734567642,1.205245018005371,Notes,25,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.079845,21.28341031074524,-0.05004393681883812,0.09388413280248642,1.204196572303772,Notes,26,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.102412,21.307063102722168,-0.05011388286948204,0.09584558755159378,1.2036515474319458,Notes,27,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.124748,21.329589366912842,-0.05016093701124191,0.09829964488744736,1.2036540508270264,Notes,28,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.147313,21.351610898971558,-0.05016518384218216,0.10143978148698807,1.2040777206420898,Notes,29,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.169701,21.374415159225464,-0.05006823688745499,0.10471753776073456,1.2047652006149292,Notes,30,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.192564,21.396880865097046,-0.049893785268068314,0.10835491120815277,1.2059112787246704,Notes,31,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
Random_Limits,04/08/2024 19:50:40.214513,21.418121337890625,-0.04966571182012558,0.11247167736291885,1.20673668384552,Notes,32,-0.05348268151283264,0.09066522121429443,1.2005691528320312,-0.05348268151283264,1.0906652212142944,1.2005691528320312
